年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当,感染性胃腸炎（ロタウイルス）_報告,感染性胃腸炎（ロタウイルス）_定当,COVID-19_報告,COVID-19_定当
2026,13,岐阜県,192,4.27,8,0.30,3,0.11,45,1.67,239,8.85,3,0.11,1,0.04,-,-,10,0.37,-,-,-,-,-,-,1,0.09,1,0.20,-,-,1,0.20,-,-,4,0.80,40,0.89
2026,13,静岡県,399,2.87,28,0.32,12,0.14,113,1.28,350,3.98,22,0.25,9,0.10,7,0.08,18,0.20,-,-,3,0.03,1,0.05,3,0.14,-,-,-,-,-,-,-,-,-,-,98,0.71
2026,13,愛知県,892,5.47,44,0.44,8,0.08,123,1.22,567,5.61,16,0.16,3,0.03,8,0.08,21,0.21,-,-,4,0.04,-,-,7,0.20,-,-,-,-,11,0.73,-,-,6,0.40,100,0.61
2026,13,三重県,254,3.68,19,0.44,11,0.26,79,1.84,212,4.93,6,0.14,2,0.05,1,0.02,12,0.28,-,-,-,-,-,-,2,0.17,-,-,-,-,1,0.11,-,-,1,0.11,33,0.48
2026,13,滋賀県,396,6.83,23,0.66,1,0.03,63,1.80,196,5.60,9,0.26,-,-,-,-,5,0.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,0.53
2026,13,京都府,448,7.00,22,0.58,15,0.39,158,4.16,164,4.32,12,0.32,1,0.03,1,0.03,9,0.24,-,-,1,0.03,-,-,3,0.17,-,-,-,-,3,0.43,1,0.14,1,0.14,46,0.72
2026,13,大阪府,1182,4.09,137,0.74,59,0.32,348,1.89,968,5.26,38,0.21,6,0.03,15,0.08,30,0.16,1,0.01,3,0.02,-,-,12,0.23,-,-,2,0.11,1,0.06,-,-,-,-,142,0.49
2026,13,兵庫県,967,5.93,62,0.60,21,0.20,204,1.96,633,6.09,34,0.33,1,0.01,7,0.07,15,0.14,1,0.01,4,0.04,-,-,8,0.24,-,-,1,0.07,2,0.14,-,-,1,0.07,89,0.55
2026,13,奈良県,192,4.57,18,0.75,4,0.17,40,1.67,155,6.46,11,0.46,1,0.04,1,0.04,3,0.13,-,-,-,-,2,0.25,5,0.63,-,-,1,0.17,-,-,-,-,-,-,19,0.45
2026,13,和歌山県,191,4.24,15,0.56,4,0.15,42,1.56,128,4.74,2,0.07,-,-,-,-,11,0.41,-,-,3,0.11,-,-,-,-,-,-,-,-,2,0.18,-,-,-,-,49,1.09
2026,13,鳥取県,402,13.86,7,0.37,2,0.11,115,6.05,107,5.63,4,0.21,-,-,2,0.11,4,0.21,-,-,-,-,-,-,1,0.20,-,-,-,-,2,0.40,-,-,-,-,22,0.76
2026,13,島根県,225,11.25,6,0.55,6,0.55,27,2.45,121,11.00,6,0.55,2,0.18,-,-,8,0.73,1,0.09,-,-,-,-,4,1.33,-,-,1,0.13,5,0.63,-,-,-,-,31,1.55
2026,13,岡山県,397,7.94,22,0.79,3,0.11,52,1.86,173,6.18,1,0.04,15,0.54,6,0.21,4,0.14,-,-,-,-,-,-,1,0.08,-,-,-,-,1,0.20,-,-,2,0.40,24,0.48
2026,13,広島県,645,6.94,24,0.43,17,0.30,120,2.14,332,5.93,12,0.21,3,0.05,2,0.04,8,0.14,2,0.04,2,0.04,-,-,4,0.21,-,-,-,-,9,0.45,-,-,-,-,53,0.57
2026,13,山口県,544,8.63,45,1.13,9,0.23,106,2.65,229,5.73,2,0.05,2,0.05,13,0.33,11,0.28,-,-,-,-,-,-,-,-,-,-,-,-,3,0.33,-,-,1,0.11,38,0.60
2026,13,徳島県,236,7.15,8,0.38,3,0.14,25,1.19,78,3.71,2,0.10,-,-,2,0.10,4,0.19,-,-,1,0.05,-,-,-,-,-,-,-,-,2,0.29,-,-,-,-,23,0.70
2026,13,香川県,109,4.74,10,0.77,1,0.08,33,2.54,79,6.08,-,-,-,-,3,0.23,1,0.08,-,-,-,-,1,0.20,-,-,-,-,-,-,1,0.20,-,-,-,-,10,0.43
2026,13,愛媛県,361,9.76,18,0.90,8,0.40,79,3.95,203,10.15,10,0.50,-,-,12,0.60,7,0.35,-,-,1,0.05,-,-,8,1.00,1,0.17,-,-,-,-,-,-,-,-,42,1.14
2026,13,高知県,59,1.55,10,0.50,3,0.15,35,1.75,60,3.00,2,0.10,-,-,4,0.20,2,0.10,-,-,1,0.05,-,-,-,-,-,-,-,-,1,0.13,-,-,1,0.13,20,0.53
2026,13,福岡県,855,7.01,63,0.90,42,0.60,437,6.24,482,6.89,28,0.40,17,0.24,2,0.03,19,0.27,4,0.06,1,0.01,4,0.15,9,0.35,-,-,-,-,2,0.13,-,-,-,-,27,0.22
2026,13,佐賀県,121,5.04,8,0.67,4,0.33,50,4.17,60,5.00,5,0.42,1,0.08,1,0.08,12,1.00,2,0.17,-,-,-,-,2,0.50,-,-,-,-,-,-,-,-,-,-,9,0.38
2026,13,長崎県,398,7.80,54,1.74,22,0.71,97,3.13,133,4.29,12,0.39,1,0.03,2,0.06,3,0.10,-,-,1,0.03,1,0.13,11,1.38,-,-,-,-,2,0.17,-,-,-,-,20,0.39
2026,13,熊本県,317,4.40,20,0.42,21,0.44,146,3.04,323,6.73,30,0.63,8,0.17,11,0.23,22,0.46,-,-,2,0.04,-,-,7,0.78,-,-,1,0.07,4,0.27,-,-,2,0.13,50,0.69
2026,13,大分県,287,4.95,14,0.39,8,0.22,109,3.03,280,7.78,14,0.39,1,0.03,2,0.06,13,0.36,-,-,-,-,-,-,1,0.20,-,-,-,-,1,0.09,-,-,-,-,22,0.38
2026,13,宮崎県,132,4.71,19,1.27,21,1.40,54,3.60,128,8.53,11,0.73,2,0.13,4,0.27,7,0.47,-,-,1,0.07,-,-,13,2.17,-,-,-,-,-,-,-,-,-,-,17,0.61
2026,13,鹿児島県,220,3.86,26,0.84,46,1.48,95,3.06,201,6.48,19,0.61,-,-,10,0.32,7,0.23,1,0.03,-,-,-,-,2,0.29,-,-,-,-,-,-,-,-,-,-,10,0.18
2026,13,沖縄県,509,11.31,1,0.04,4,0.16,35,1.40,91,3.64,10,0.40,1,0.04,-,-,4,0.16,1,0.04,1,0.04,1,0.11,11,1.22,-,-,-,-,2,0.29,-,-,-,-,127,2.82
2026,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
