年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,百日咳_報告,百日咳_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当,感染性胃腸炎（ロタウイルス）_報告,感染性胃腸炎（ロタウイルス）_定当
2014,46,愛知県,52,0.27,201,,104,0.57,342,1.89,751,4.15,125,0.69,133,0.73,7,0.04,90,0.50,4,0.02,11,0.06,26,0.14,2,0.06,13,0.38,1,0.07,-,-,4,0.29,-,-,1,0.07
2014,46,三重県,12,0.17,110,,48,1.07,54,1.20,227,5.04,23,0.51,7,0.16,3,0.07,28,0.62,-,-,-,-,11,0.24,-,-,1,0.08,-,-,-,-,-,-,-,-,-,-
2014,46,滋賀県,7,0.13,30,,6,0.19,51,1.59,214,6.69,24,0.75,14,0.44,4,0.13,18,0.56,-,-,8,0.25,7,0.22,-,-,-,-,-,-,1,0.14,-,-,-,-,-,-
2014,46,京都府,26,0.21,70,,27,0.37,77,1.05,434,5.95,73,1.00,49,0.67,8,0.11,21,0.29,-,-,3,0.04,12,0.16,-,-,7,0.39,-,-,-,-,-,-,-,-,-,-
2014,46,大阪府,87,0.28,259,,93,0.47,420,2.11,1674,8.41,170,0.85,70,0.35,17,0.09,111,0.56,-,-,5,0.03,41,0.21,1,0.02,13,0.25,-,-,-,-,4,0.24,-,-,-,-
2014,46,兵庫県,64,0.32,243,,36,0.28,199,1.55,941,7.35,147,1.15,36,0.28,16,0.13,60,0.47,2,0.02,7,0.05,25,0.20,-,-,28,0.80,-,-,-,-,-,-,-,-,-,-
2014,46,奈良県,19,0.35,41,,15,0.44,38,1.12,157,4.62,26,0.76,13,0.38,4,0.12,10,0.29,-,-,-,-,3,0.09,-,-,4,0.44,-,-,-,-,1,0.17,-,-,-,-
2014,46,和歌山県,4,0.08,21,,2,0.06,30,0.97,68,2.19,29,0.94,44,1.42,-,-,17,0.55,-,-,2,0.06,2,0.06,-,-,-,-,-,-,-,-,1,0.09,-,-,-,-
2014,46,鳥取県,9,0.31,63,,11,0.58,54,2.84,52,2.74,15,0.79,-,-,-,-,8,0.42,-,-,-,-,1,0.05,-,-,1,0.33,-,-,-,-,1,0.20,-,-,-,-
2014,46,島根県,7,0.18,67,,28,1.22,82,3.57,116,5.04,26,1.13,4,0.17,1,0.04,19,0.83,-,-,3,0.13,19,0.83,-,-,-,-,-,-,2,0.25,3,0.38,-,-,1,0.13
2014,46,岡山県,5,0.06,67,,15,0.28,38,0.70,411,7.61,54,1.00,18,0.33,-,-,18,0.33,-,-,2,0.04,10,0.19,-,-,2,0.17,-,-,-,-,1,0.20,-,-,-,-
2014,46,広島県,25,0.22,174,,28,0.39,194,2.69,375,5.21,59,0.82,73,1.01,2,0.03,31,0.43,2,0.03,5,0.07,51,0.71,1,0.05,14,0.74,-,-,-,-,5,0.24,-,-,-,-
2014,46,山口県,5,0.07,111,,12,0.25,142,2.96,267,5.56,55,1.15,39,0.81,2,0.04,35,0.73,-,-,-,-,7,0.15,-,-,1,0.11,-,-,-,-,2,0.22,-,-,-,-
2014,46,徳島県,4,0.11,73,,17,0.74,20,0.87,103,4.48,14,0.61,-,-,-,-,22,0.96,-,-,-,-,2,0.09,-,-,-,-,-,-,1,0.14,1,0.14,-,-,-,-
2014,46,香川県,7,0.15,55,,21,0.72,40,1.38,360,12.41,23,0.79,3,0.10,-,-,9,0.31,-,-,10,0.34,2,0.07,-,-,1,0.20,-,-,1,0.20,4,0.80,-,-,-,-
2014,46,愛媛県,45,0.74,50,,6,0.16,73,1.97,215,5.81,27,0.73,100,2.70,-,-,25,0.68,-,-,3,0.08,13,0.35,-,-,5,0.63,-,-,-,-,-,-,-,-,-,-
2014,46,高知県,-,-,35,,5,0.17,27,0.90,92,3.07,32,1.07,46,1.53,-,-,22,0.73,-,-,1,0.03,7,0.23,-,-,-,-,-,-,3,0.38,3,0.38,1,0.13,1,0.13
2014,46,福岡県,37,0.19,104,,32,0.27,389,3.24,1113,9.28,119,0.99,120,1.00,28,0.23,103,0.86,7,0.06,13,0.11,75,0.63,-,-,10,0.38,1,0.07,1,0.07,2,0.14,-,-,-,-
2014,46,佐賀県,5,0.13,11,,14,0.61,32,1.39,109,4.74,24,1.04,43,1.87,1,0.04,28,1.22,-,-,7,0.30,28,1.22,-,-,-,-,-,-,1,0.17,-,-,-,-,-,-
2014,46,長崎県,39,0.56,13,,16,0.36,65,1.48,184,4.18,44,1.00,28,0.64,2,0.05,28,0.64,-,-,1,0.02,32,0.73,2,0.25,2,0.25,-,-,-,-,7,0.58,-,-,-,-
2014,46,熊本県,9,0.11,98,,16,0.32,52,1.04,283,5.66,73,1.46,39,0.78,-,-,38,0.76,-,-,7,0.14,8,0.16,-,-,8,0.89,-,-,1,0.07,3,0.20,-,-,-,-
2014,46,大分県,56,0.97,28,,10,0.28,99,2.75,384,10.67,51,1.42,43,1.19,3,0.08,28,0.78,1,0.03,11,0.31,39,1.08,-,-,6,1.20,-,-,-,-,5,0.45,-,-,-,-
2014,46,宮崎県,1,0.02,56,,28,0.78,61,1.69,239,6.64,62,1.72,25,0.69,1,0.03,38,1.06,-,-,12,0.33,7,0.19,-,-,11,1.83,-,-,-,-,-,-,-,-,-,-
2014,46,鹿児島県,3,0.03,19,,26,0.47,140,2.55,289,5.25,66,1.20,112,2.04,3,0.05,25,0.45,1,0.02,9,0.16,14,0.25,-,-,3,0.43,-,-,-,-,-,-,-,-,-,-
2014,46,沖縄県,22,0.38,1,,12,0.35,55,1.62,105,3.09,24,0.71,106,3.12,-,-,8,0.24,-,-,5,0.15,73,2.15,-,-,6,0.60,1,0.14,1,0.14,1,0.14,-,-,-,-
2014,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
