年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,百日咳_報告,百日咳_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当
2013,05,徳島県,944,24.84,42,,7,0.30,33,1.43,197,8.57,16,0.70,-,-,-,-,11,0.48,-,-,-,-,1,0.04,-,-,-,-,1,0.20,-,-,1,0.20,-,-
2013,05,香川県,1772,36.16,22,,7,0.23,15,0.50,212,7.07,28,0.93,6,0.20,3,0.10,15,0.50,-,-,1,0.03,1,0.03,-,-,6,2.00,-,-,-,-,-,-,-,-
2013,05,愛媛県,2761,45.26,52,,3,0.08,81,2.19,370,10.00,56,1.51,6,0.16,2,0.05,29,0.78,1,0.03,-,-,6,0.16,-,-,11,1.38,-,-,-,-,4,0.67,-,-
2013,05,高知県,1536,32.00,82,,1,0.03,19,0.63,295,9.83,42,1.40,12,0.40,4,0.13,6,0.20,-,-,-,-,4,0.13,-,-,1,0.33,-,-,-,-,4,0.50,1,0.13
2013,05,福岡県,8026,40.54,68,,65,0.54,308,2.57,1050,8.75,256,2.13,122,1.02,2,0.02,85,0.71,4,0.03,3,0.03,55,0.46,-,-,7,0.27,-,-,1,0.07,3,0.20,1,0.07
2013,05,佐賀県,1013,26.66,7,,7,0.32,37,1.68,130,5.91,35,1.59,1,0.05,-,-,27,1.23,1,0.05,-,-,-,-,-,-,1,0.25,-,-,-,-,8,1.33,-,-
2013,05,長崎県,3033,43.33,26,,19,0.43,47,1.07,500,11.36,63,1.43,1,0.02,-,-,13,0.30,-,-,6,0.14,18,0.41,9,1.13,3,0.38,-,-,-,-,5,0.42,-,-
2013,05,熊本県,2088,26.10,33,,45,0.90,70,1.40,826,16.52,99,1.98,57,1.14,3,0.06,48,0.96,-,-,1,0.02,15,0.30,-,-,12,1.33,-,-,-,-,-,-,-,-
2013,05,大分県,2232,38.48,15,,16,0.44,44,1.22,490,13.61,50,1.39,36,1.00,3,0.08,23,0.64,-,-,-,-,21,0.58,-,-,-,-,-,-,1,0.09,5,0.45,-,-
2013,05,宮崎県,2399,40.66,34,,46,1.28,76,2.11,586,16.28,117,3.25,1,0.03,1,0.03,38,1.06,-,-,1,0.03,14,0.39,-,-,28,4.67,-,-,1,0.14,1,0.14,-,-
2013,05,鹿児島県,4025,43.28,35,,33,0.60,96,1.75,708,12.87,97,1.76,16,0.29,2,0.04,22,0.40,-,-,-,-,9,0.16,-,-,7,1.00,-,-,1,0.08,9,0.75,-,-
2013,05,沖縄県,2394,41.28,14,,1,0.03,25,0.74,158,4.65,102,3.00,16,0.47,5,0.15,9,0.26,1,0.03,-,-,17,0.50,1,0.10,19,1.90,1,0.14,-,-,5,0.71,-,-
2013,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
