年,週,月,開始日,終了日,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2025,19,5,2025-05-05,2025-05-11,岩手県,2915,69.4
2025,19,5,2025-05-05,2025-05-11,宮城県,3563,65.98
2025,19,5,2025-05-05,2025-05-11,秋田県,1151,46.04
2025,19,5,2025-05-05,2025-05-11,山形県,2401,63.18
2025,19,5,2025-05-05,2025-05-11,福島県,2879,59.98
2025,19,5,2025-05-05,2025-05-11,茨城県,3905,57.43
2025,19,5,2025-05-05,2025-05-11,栃木県,3422,72.81
2025,19,5,2025-05-05,2025-05-11,群馬県,2893,64.29
2025,19,5,2025-05-05,2025-05-11,埼玉県,11228,65.28
2025,19,5,2025-05-05,2025-05-11,千葉県,9511,53.13
2025,19,5,2025-05-05,2025-05-11,東京都,17595,42.19
2025,19,5,2025-05-05,2025-05-11,神奈川県,11949,50.42
2025,19,5,2025-05-05,2025-05-11,新潟県,2777,53.4
2025,19,5,2025-05-05,2025-05-11,富山県,2963,61.73
2025,19,5,2025-05-05,2025-05-11,石川県,2194,45.71
2025,19,5,2025-05-05,2025-05-11,福井県,1362,34.92
2025,19,5,2025-05-05,2025-05-11,山梨県,1298,37.09
2025,19,5,2025-05-05,2025-05-11,長野県,3658,45.16
2025,19,5,2025-05-05,2025-05-11,岐阜県,1849,41.09
2025,19,5,2025-05-05,2025-05-11,静岡県,5523,39.73
2025,19,5,2025-05-05,2025-05-11,愛知県,9441,57.92
2025,19,5,2025-05-05,2025-05-11,三重県,2388,33.63
2025,19,5,2025-05-05,2025-05-11,滋賀県,2650,45.69
2025,19,5,2025-05-05,2025-05-11,京都府,2945,46.75
2025,19,5,2025-05-05,2025-05-11,大阪府,9556,32.73
2025,19,5,2025-05-05,2025-05-11,兵庫県,7096,43.27
2025,19,5,2025-05-05,2025-05-11,奈良県,1410,34.39
2025,19,5,2025-05-05,2025-05-11,和歌山県,1702,37.82
2025,19,5,2025-05-05,2025-05-11,鳥取県,1397,48.17
2025,19,5,2025-05-05,2025-05-11,島根県,1025,51.25
2025,19,5,2025-05-05,2025-05-11,岡山県,2574,51.48
2025,19,5,2025-05-05,2025-05-11,広島県,4082,43.43
2025,19,5,2025-05-05,2025-05-11,山口県,3299,52.37
2025,19,5,2025-05-05,2025-05-11,徳島県,1260,37.06
2025,19,5,2025-05-05,2025-05-11,香川県,1823,45.58
