"報告数・定点当り報告数、疾病・都道府県別","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025年04週(01月20日～01月26日)","2025年01月29日作成","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","インフルエンザ","","ＲＳウイルス感染症","","咽頭結膜熱","","Ａ群溶血性レンサ球菌咽頭炎","","感染性胃腸炎","","水痘","","手足口病","","伝染性紅斑","","突発性発しん","","ヘルパンギーナ","","流行性耳下腺炎","","急性出血性結膜炎","","流行性角結膜炎","","細菌性髄膜炎","","無菌性髄膜炎","","マイコプラズマ肺炎","","クラミジア肺炎","","感染性胃腸炎（ロタウイルス）","","COVID-19",""
"","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当"
"島根県","305","8.03","16","0.70","4","0.17","44","1.91","127","5.52","5","0.22","3","0.13","3","0.13","8","0.35","-","-","-","-","-","-","-","-","-","-","-","-","5","0.63","-","-","-","-","208","5.47"
"岡山県","791","9.42","22","0.41","6","0.11","70","1.30","296","5.48","5","0.09","4","0.07","3","0.06","9","0.17","1","0.02","1","0.02","-","-","1","0.08","-","-","-","-","1","0.20","-","-","-","-","483","5.75"
"広島県","934","7.98","61","0.82","43","0.58","186","2.51","497","6.72","10","0.14","4","0.05","11","0.15","9","0.12","-","-","2","0.03","1","0.05","13","0.68","-","-","-","-","16","0.80","-","-","-","-","679","5.80"
"山口県","870","12.99","41","0.95","11","0.26","155","3.60","324","7.53","2","0.05","2","0.05","8","0.19","13","0.30","1","0.02","-","-","-","-","4","0.44","-","-","-","-","4","0.44","-","-","-","-","450","6.72"
"徳島県","590","15.95","20","0.87","6","0.26","28","1.22","98","4.26","6","0.26","14","0.61","5","0.22","5","0.22","1","0.04","-","-","-","-","1","0.33","-","-","-","-","3","0.43","-","-","-","-","355","9.59"
"香川県","629","13.38","27","0.96","10","0.36","54","1.93","203","7.25","6","0.21","1","0.04","2","0.07","9","0.32","1","0.04","1","0.04","-","-","-","-","-","-","-","-","-","-","-","-","-","-","280","5.96"
"愛媛県","856","14.27","25","0.69","16","0.44","117","3.25","253","7.03","3","0.08","2","0.06","6","0.17","9","0.25","-","-","1","0.03","-","-","19","2.38","-","-","-","-","5","0.83","-","-","2","0.33","409","6.82"
"高知県","774","17.59","7","0.28","4","0.16","51","2.04","94","3.76","10","0.40","6","0.24","38","1.52","3","0.12","-","-","1","0.04","-","-","1","0.33","-","-","-","-","6","0.75","-","-","-","-","353","8.02"
"福岡県","2107","10.70","103","0.87","49","0.41","492","4.13","1032","8.67","39","0.33","11","0.09","24","0.20","29","0.24","1","0.01","5","0.04","1","0.04","9","0.35","-","-","-","-","12","0.80","-","-","-","-","1040","5.28"
"佐賀県","579","14.85","14","0.61","11","0.48","75","3.26","217","9.43","5","0.22","8","0.35","3","0.13","6","0.26","1","0.04","1","0.04","-","-","-","-","1","0.17","-","-","4","0.67","-","-","-","-","202","5.18"
"長崎県","1130","16.14","8","0.18","11","0.25","113","2.57","247","5.61","16","0.36","7","0.16","14","0.32","10","0.23","-","-","1","0.02","3","0.38","12","1.50","-","-","1","0.08","6","0.50","-","-","1","0.08","559","7.99"
"熊本県","970","12.28","15","0.31","13","0.27","142","2.90","424","8.65","9","0.18","10","0.20","10","0.20","14","0.29","1","0.02","2","0.04","1","0.11","8","0.89","-","-","-","-","3","0.20","-","-","-","-","461","5.84"
"大分県","645","11.12","5","0.14","22","0.61","133","3.69","611","16.97","17","0.47","9","0.25","4","0.11","19","0.53","-","-","2","0.06","-","-","2","0.40","-","-","-","-","2","0.18","-","-","-","-","370","6.38"
"宮崎県","872","15.03","17","0.47","12","0.33","124","3.44","287","7.97","6","0.17","9","0.25","16","0.44","12","0.33","-","-","-","-","-","-","8","1.33","-","-","-","-","6","0.86","-","-","1","0.14","372","6.41"
"鹿児島県","1177","13.22","18","0.35","45","0.88","171","3.35","389","7.63","11","0.22","8","0.16","4","0.08","16","0.31","-","-","-","-","-","-","8","1.14","-","-","-","-","7","0.58","-","-","-","-","428","4.81"
"沖縄県","1051","18.77","5","0.16","6","0.19","76","2.38","112","3.50","20","0.63","6","0.19","16","0.50","3","0.09","-","-","2","0.06","-","-","13","1.44","1","0.14","-","-","2","0.29","-","-","-","-","73","1.30"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
